Flavor,Aftertaste,Cupper.Points,Balance,Acidity,Aroma,Body,Category.One.Defects,Category.Two.Defects,Moisture,Country.of.Origin_Burundi,Country.of.Origin_Cambodia,Country.of.Origin_China,Country.of.Origin_Colombia,Country.of.Origin_Costa Rica,Country.of.Origin_Cote d?Ivoire,Country.of.Origin_Ecuador,Country.of.Origin_El Salvador,Country.of.Origin_Ethiopia,Country.of.Origin_Guatemala,Country.of.Origin_Haiti,Country.of.Origin_Hawaii,Country.of.Origin_Honduras,Country.of.Origin_Indonesia,Country.of.Origin_Jamaica,Country.of.Origin_Japan,Country.of.Origin_Kenya,Country.of.Origin_Laos,Country.of.Origin_Malawi,Country.of.Origin_Mauritius,Country.of.Origin_Mexico,Country.of.Origin_Myanmar,Country.of.Origin_Nicaragua,Country.of.Origin_Panama,Country.of.Origin_Papua New Guinea,Country.of.Origin_Peru,Country.of.Origin_Philippines,Country.of.Origin_Puerto Rico,Country.of.Origin_Rwanda,Country.of.Origin_Taiwan,Country.of.Origin_Tanzania,Country.of.Origin_Thailand,Country.of.Origin_Uganda,Country.of.Origin_Vietnam,Country.of.Origin_Yemen,Country.of.Origin_Zambia,Processing.Method_Anaerobic Fermentation,Processing.Method_Carbonic Maceration,Processing.Method_Honey,Processing.Method_Natural,Processing.Method_Other,Processing.Method_Semi-Washed,Processing.Method_Washed,Variety.Simplified_Foundational/Mutation,Variety.Simplified_Geisha,Variety.Simplified_Hybrid,Variety.Simplified_Mixed,Variety.Simplified_Other,Variety.Simplified_SL-Selection,Variety.Simplified_Specialty Regional,Color_green,Color_green-yellow,Color_yellow,Total.Cup.Points
2.464770011104018,2.107314775113622,1.919266160418602,1.6231479412770722,1.3739477506714064,2.298494852638984,1.8442792685136866,0.0,-0.2631035200645687,-0.7258188803085548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,87.33
2.197695073640198,1.8423170989323296,1.702506681301409,1.6231479412770722,2.185399184338493,2.298494852638984,1.5641066773962313,0.0,-0.9201638153054652,-0.7258188803085548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,87.33
2.197695073640198,1.6067636089934025,1.702506681301409,1.3798944799431068,2.185399184338493,2.5884985897219397,2.159473433520823,0.0,0.0654266275558795,-0.7258188803085548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,87.33
2.197695073640198,2.3428682650525494,2.271500313984038,1.1366410186091414,1.6389114841137193,2.298494852638984,1.283934086278776,0.0,-0.5916336676850169,-0.7258188803085548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,87.25
1.9602951292279127,2.107314775113622,1.4586522672945674,1.3798944799431068,2.185399184338493,1.2351478166681453,2.7198186157557336,0.0,-0.5916336676850169,-1.4409937686572776,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,87.17
1.9602951292279127,1.8423170989323296,1.702506681301409,1.6231479412770722,2.185399184338493,1.7829326533803953,2.159473433520823,0.0,-0.5916336676850169,-0.7258188803085548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,87.17
1.7228951848156275,1.8423170989323296,1.702506681301409,1.3798944799431068,1.936995684236321,2.298494852638984,2.159473433520823,0.0,-0.5916336676850169,-0.7258188803085548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,87.08
1.4558202473518076,2.107314775113622,2.1360256395357955,1.3798944799431068,2.185399184338493,1.4929289162974397,1.8442792685136866,0.0,2.365137660899017,-0.7258188803085548,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,87.08
1.9602951292279127,1.8423170989323296,2.1360256395357955,1.6231479412770722,1.936995684236321,2.298494852638984,0.9687399212716397,0.0,-0.9201638153054652,-0.010643991959832993,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,87.08
1.9602951292279127,1.8423170989323296,2.1360256395357955,1.6231479412770722,1.936995684236321,1.7829326533803953,1.283934086278776,0.0,-0.2631035200645687,-0.7258188803085548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,87.0
1.7228951848156275,1.6067636089934025,1.702506681301409,1.8968080852777827,2.185399184338493,1.4929289162974397,1.8442792685136866,0.0,0.0654266275558795,-0.7258188803085548,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,87.0
1.7228951848156275,1.8423170989323296,1.919266160418602,1.6231479412770722,1.6389114841137193,2.298494852638984,1.5641066773962313,0.0,-0.9201638153054652,0.7045308963888888,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,87.0
1.7228951848156275,1.6067636089934025,1.702506681301409,1.6231479412770722,2.185399184338493,1.2351478166681453,2.159473433520823,0.0,-0.2631035200645687,-0.010643991959832993,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,86.92
1.4558202473518076,1.8423170989323296,1.702506681301409,1.6231479412770722,2.185399184338493,1.4929289162974397,1.283934086278776,0.0,0.3939567751763277,-1.4409937686572776,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,86.83
1.2184203029395224,2.107314775113622,1.702506681301409,1.8968080852777827,1.6389114841137193,1.4929289162974397,2.159473433520823,0.0,-0.2631035200645687,-0.010643991959832993,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,86.83
1.9602951292279127,1.6067636089934025,1.919266160418602,1.6231479412770722,2.185399184338493,1.2351478166681453,1.5641066773962313,0.0,-0.9201638153054652,-0.010643991959832993,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,86.83
2.197695073640198,1.6067636089934025,1.702506681301409,1.1366410186091414,1.6389114841137193,2.5884985897219397,1.283934086278776,0.0,-0.9201638153054652,-0.7258188803085548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,86.83
1.7228951848156275,2.3428682650525494,1.4586522672945674,1.6231479412770722,1.6389114841137193,1.7829326533803953,1.5641066773962313,0.0,-0.9201638153054652,-0.010643991959832993,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,86.83
1.9602951292279127,1.3712101190544752,1.702506681301409,1.1366410186091414,1.936995684236321,1.7829326533803953,2.4396460246382783,0.0,-0.9201638153054652,-1.4409937686572776,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,86.83
1.4558202473518076,1.6067636089934025,1.702506681301409,1.6231479412770722,2.185399184338493,0.9773667170388509,1.8442792685136866,0.0,-0.5916336676850169,-0.7258188803085548,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,86.75
1.9602951292279127,1.8423170989323296,1.702506681301409,2.140061546611748,1.1089840172290932,1.7829326533803953,0.9687399212716397,0.0,-0.9201638153054652,-0.7258188803085548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,86.67
1.9602951292279127,1.106212442873183,1.919266160418602,1.3798944799431068,2.185399184338493,1.4929289162974397,0.9687399212716397,0.0,-0.2631035200645687,-0.7258188803085548,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,86.58
1.7228951848156275,1.6067636089934025,1.702506681301409,1.6231479412770722,1.6389114841137193,1.4929289162974397,1.283934086278776,0.0,-0.9201638153054652,-0.7258188803085548,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,86.5
1.4558202473518076,1.3712101190544752,1.025133309060181,2.5353484212794384,1.1089840172290932,1.4929289162974397,1.5641066773962313,0.0,-0.2631035200645687,0.7045308963888888,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,86.42
1.2184203029395224,1.6067636089934025,1.2418927881773743,1.3798944799431068,2.185399184338493,0.9773667170388509,1.5641066773962313,0.0,2.365137660899017,-0.7258188803085548,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,86.33
